

----------------------------- BasicCube Log -----------------------------
----------------------------- 5/12/2018 4:13:08 PM -----------------------------
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.6, 0.0)
5/12/2018 4:13:08 PM | BasicCube | Position: (0.1, 0.5, 0.0)
